VP_Count,AP_Count,Attack_Type,Num_Macro_Runs,Num_Sim_Runs_Per_TH,Cores_M,TP_Threshold,Avg_TH_Original,Successful_Runs_Orig,Avg_TH_Augmented,Successful_Runs_Aug
1,1,ANTERIOR,1000,1000,8,0.05,0.07200000,1000,0.07898900,1000
1,1,POSTERIOR,1000,1000,8,0.05000000,0.16900000,1000,0.08415900,1000
1,1,PINCER_DUAL,1000,1000,8,0.05000000,0.26400000,1000,0.14567500,1000
1,1,CONCURRENT,1000,1000,8,0.05000000,0.30100000,1000,0.24521900,1000
1,2,ANTERIOR,1000,1000,8,0.05000000,0.14000000,1000,0.15378400,1000
1,2,POSTERIOR,1000,1000,8,0.05000000,0.31400000,1000,0.16169800,1000
1,2,PINCER_DUAL,1000,1000,8,0.05000000,0.45600000,1000,0.25994700,1000
1,2,CONCURRENT,1000,1000,8,0.05000000,0.53500000,1000,0.44258300,1000
1,3,ANTERIOR,1000,1000,8,0.05000000,0.24900000,1000,0.24601000,1000
1,3,POSTERIOR,1000,1000,8,0.05000000,0.42800000,1000,0.22542200,1000
1,3,PINCER_DUAL,1000,1000,8,0.05000000,0.60600000,1000,0.35527200,1000
1,3,CONCURRENT,1000,1000,8,0.05000000,0.68600000,1000,0.58945400,1000
1,4,ANTERIOR,1000,1000,8,0.05000000,0.33200000,1000,0.26957900,1000
1,4,POSTERIOR,1000,1000,8,0.05000000,0.52600000,1000,0.29559300,1000
1,4,PINCER_DUAL,1000,1000,8,0.05000000,0.70200000,1000,0.44898800,1000
1,4,CONCURRENT,1000,1000,8,0.05000000,0.75700000,1000,0.67953300,1000
1,5,ANTERIOR,1000,1000,8,0.05000000,0.41400000,1000,0.35909600,1000
1,5,POSTERIOR,1000,1000,8,0.05000000,0.58700000,1000,0.33915000,1000
1,5,PINCER_DUAL,1000,1000,8,0.05000000,0.81700000,1000,0.52259000,1000
1,5,CONCURRENT,1000,1000,8,0.05000000,0.81500000,1000,0.76353600,1000
1,6,ANTERIOR,1000,1000,8,0.05000000,0.49400000,1000,0.39986500,1000
1,6,POSTERIOR,1000,1000,8,0.05000000,0.66200000,1000,0.39432500,1000
1,6,PINCER_DUAL,1000,1000,8,0.05000000,0.84300000,1000,0.56586700,1000
1,6,CONCURRENT,1000,1000,8,0.05000000,0.86600000,1000,0.82691500,1000
1,7,ANTERIOR,1000,1000,8,0.05000000,0.59400000,1000,0.44717000,1000
1,7,POSTERIOR,1000,1000,8,0.05000000,0.71700000,1000,0.45043800,1000
1,7,PINCER_DUAL,1000,1000,8,0.05000000,0.90300000,1000,0.62448000,1000
1,7,CONCURRENT,1000,1000,8,0.05000000,0.89200000,1000,0.86442400,1000
1,8,ANTERIOR,1000,1000,8,0.05000000,0.65000000,1000,0.48266900,1000
1,8,POSTERIOR,1000,1000,8,0.05000000,0.78800000,1000,0.51319300,1000
1,8,PINCER_DUAL,1000,1000,8,0.05000000,0.94900000,1000,0.62970300,1000
1,8,CONCURRENT,1000,1000,8,0.05000000,0.93000000,1000,0.91435000,1000
1,9,ANTERIOR,1000,1000,8,0.05000000,0.73800000,1000,0.50348200,1000
1,9,POSTERIOR,1000,1000,8,0.05000000,0.82900000,1000,0.54185800,1000
1,9,PINCER_DUAL,1000,1000,8,0.05000000,0.97500000,1000,0.67463100,1000
1,9,CONCURRENT,1000,1000,8,0.05000000,0.93900000,1000,0.92880400,1000
1,10,ANTERIOR,1000,1000,8,0.05000000,0.84800000,1000,0.55657000,1000
1,10,POSTERIOR,1000,1000,8,0.05000000,0.87100000,1000,0.57730800,1000
1,10,PINCER_DUAL,1000,1000,8,0.05000000,0.99100000,1000,0.70059200,1000
1,10,CONCURRENT,1000,1000,8,0.05000000,0.97200000,1000,0.96876600,1000
1,11,ANTERIOR,1000,1000,8,0.05000000,0.90500000,1000,0.57306800,1000
1,11,POSTERIOR,1000,1000,8,0.05000000,0.92000000,1000,0.60171200,1000
1,11,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.71299400,1000
1,11,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
2,1,ANTERIOR,1000,1000,8,0.05000000,0.14600000,1000,0.15455976,1000
2,1,POSTERIOR,1000,1000,8,0.05000000,0.34400000,1000,0.14937952,1000
2,1,PINCER_DUAL,1000,1000,8,0.05000000,0.38800000,1000,0.25006180,1000
2,1,CONCURRENT,1000,1000,8,0.05000000,0.53400000,1000,0.44898996,1000
2,2,ANTERIOR,1000,1000,8,0.05000000,0.25800000,1000,0.27699358,1000
2,2,POSTERIOR,1000,1000,8,0.05000000,0.54100000,1000,0.30041277,1000
2,2,PINCER_DUAL,1000,1000,8,0.05000000,0.66300000,1000,0.45786709,1000
2,2,CONCURRENT,1000,1000,8,0.05000000,0.76300000,1000,0.67716016,1000
2,3,ANTERIOR,1000,1000,8,0.05000000,0.40900000,1000,0.40159878,1000
2,3,POSTERIOR,1000,1000,8,0.05000000,0.68900000,1000,0.40781967,1000
2,3,PINCER_DUAL,1000,1000,8,0.05000000,0.82900000,1000,0.58418854,1000
2,3,CONCURRENT,1000,1000,8,0.05000000,0.85900000,1000,0.80696052,1000
2,4,ANTERIOR,1000,1000,8,0.05000000,0.51400000,1000,0.51542333,1000
2,4,POSTERIOR,1000,1000,8,0.05000000,0.79900000,1000,0.54395689,1000
2,4,PINCER_DUAL,1000,1000,8,0.05000000,0.90100000,1000,0.68977759,1000
2,4,CONCURRENT,1000,1000,8,0.05000000,0.95100000,1000,0.91375864,1000
2,5,ANTERIOR,1000,1000,8,0.05000000,0.62400000,1000,0.58702730,1000
2,5,POSTERIOR,1000,1000,8,0.05000000,0.84400000,1000,0.59003109,1000
2,5,PINCER_DUAL,1000,1000,8,0.05000000,0.95100000,1000,0.76812917,1000
2,5,CONCURRENT,1000,1000,8,0.05000000,0.96100000,1000,0.94228046,1000
2,6,ANTERIOR,1000,1000,8,0.05000000,0.70700000,1000,0.64580880,1000
2,6,POSTERIOR,1000,1000,8,0.05000000,0.89500000,1000,0.65231545,1000
2,6,PINCER_DUAL,1000,1000,8,0.05000000,0.96800000,1000,0.83852321,1000
2,6,CONCURRENT,1000,1000,8,0.05000000,0.98500000,1000,0.97237433,1000
2,7,ANTERIOR,1000,1000,8,0.05000000,0.79200000,1000,0.70115474,1000
2,7,POSTERIOR,1000,1000,8,0.05000000,0.93300000,1000,0.70110907,1000
2,7,PINCER_DUAL,1000,1000,8,0.05000000,0.98600000,1000,0.86017554,1000
2,7,CONCURRENT,1000,1000,8,0.05000000,0.99100000,1000,0.98720043,1000
2,8,ANTERIOR,1000,1000,8,0.05000000,0.85800000,1000,0.73798227,1000
2,8,POSTERIOR,1000,1000,8,0.05000000,0.94900000,1000,0.75437881,1000
2,8,PINCER_DUAL,1000,1000,8,0.05000000,0.99500000,1000,0.88844154,1000
2,8,CONCURRENT,1000,1000,8,0.05000000,0.99600000,1000,0.99405387,1000
2,9,ANTERIOR,1000,1000,8,0.05000000,0.91900000,1000,0.77607508,1000
2,9,POSTERIOR,1000,1000,8,0.05000000,0.98000000,1000,0.78599263,1000
2,9,PINCER_DUAL,1000,1000,8,0.05000000,0.99900000,1000,0.90495941,1000
2,9,CONCURRENT,1000,1000,8,0.05000000,0.99900000,1000,0.99860931,1000
2,10,ANTERIOR,1000,1000,8,0.05000000,0.96900000,1000,0.81813614,1000
2,10,POSTERIOR,1000,1000,8,0.05000000,0.98700000,1000,0.81799591,1000
2,10,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.92968502,1000
2,10,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
2,11,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.84000032,1000
2,11,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.84853076,1000
2,11,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.92770007,1000
2,11,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
3,1,ANTERIOR,1000,1000,8,0.05000000,0.19300000,1000,0.22799776,1000
3,1,POSTERIOR,1000,1000,8,0.05000000,0.45200000,1000,0.23428817,1000
3,1,PINCER_DUAL,1000,1000,8,0.05000000,0.53700000,1000,0.35455873,1000
3,1,CONCURRENT,1000,1000,8,0.05000000,0.64300000,1000,0.56663054,1000
3,2,ANTERIOR,1000,1000,8,0.05000000,0.34800000,1000,0.40290560,1000
3,2,POSTERIOR,1000,1000,8,0.05000000,0.67200000,1000,0.40203178,1000
3,2,PINCER_DUAL,1000,1000,8,0.05000000,0.79400000,1000,0.60583621,1000
3,2,CONCURRENT,1000,1000,8,0.05000000,0.89800000,1000,0.84129864,1000
3,3,ANTERIOR,1000,1000,8,0.05000000,0.48300000,1000,0.53600199,1000
3,3,POSTERIOR,1000,1000,8,0.05000000,0.80300000,1000,0.53850383,1000
3,3,PINCER_DUAL,1000,1000,8,0.05000000,0.90500000,1000,0.74057916,1000
3,3,CONCURRENT,1000,1000,8,0.05000000,0.96100000,1000,0.93834859,1000
3,4,ANTERIOR,1000,1000,8,0.05000000,0.62000000,1000,0.63931953,1000
3,4,POSTERIOR,1000,1000,8,0.05000000,0.89800000,1000,0.63685881,1000
3,4,PINCER_DUAL,1000,1000,8,0.05000000,0.95300000,1000,0.83600746,1000
3,4,CONCURRENT,1000,1000,8,0.05000000,0.98900000,1000,0.97874404,1000
3,5,ANTERIOR,1000,1000,8,0.05000000,0.70000000,1000,0.72338172,1000
3,5,POSTERIOR,1000,1000,8,0.05000000,0.94000000,1000,0.73121382,1000
3,5,PINCER_DUAL,1000,1000,8,0.05000000,0.97900000,1000,0.88309798,1000
3,5,CONCURRENT,1000,1000,8,0.05000000,0.99200000,1000,0.98783374,1000
3,6,ANTERIOR,1000,1000,8,0.05000000,0.79800000,1000,0.79791958,1000
3,6,POSTERIOR,1000,1000,8,0.05000000,0.96200000,1000,0.78423130,1000
3,6,PINCER_DUAL,1000,1000,8,0.05000000,0.98700000,1000,0.93317006,1000
3,6,CONCURRENT,1000,1000,8,0.05000000,0.99900000,1000,0.99803786,1000
3,7,ANTERIOR,1000,1000,8,0.05000000,0.85500000,1000,0.84287043,1000
3,7,POSTERIOR,1000,1000,8,0.05000000,0.98300000,1000,0.83372452,1000
3,7,PINCER_DUAL,1000,1000,8,0.05000000,0.99500000,1000,0.95800902,1000
3,7,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99969475,1000
3,8,ANTERIOR,1000,1000,8,0.05000000,0.91800000,1000,0.87627478,1000
3,8,POSTERIOR,1000,1000,8,0.05000000,0.99000000,1000,0.88046876,1000
3,8,PINCER_DUAL,1000,1000,8,0.05000000,0.99800000,1000,0.97132222,1000
3,8,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99997229,1000
3,9,ANTERIOR,1000,1000,8,0.05000000,0.97100000,1000,0.90604403,1000
3,9,POSTERIOR,1000,1000,8,0.05000000,0.99800000,1000,0.91693129,1000
3,9,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.97985489,1000
3,9,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
3,10,ANTERIOR,1000,1000,8,0.05000000,0.98800000,1000,0.92719285,1000
3,10,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.93006900,1000
3,10,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98364633,1000
3,10,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
3,11,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.93659906,1000
3,11,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.94878626,1000
3,11,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98908862,1000
3,11,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
4,1,ANTERIOR,1000,1000,8,0.05000000,0.22100000,1000,0.27790192,1000
4,1,POSTERIOR,1000,1000,8,0.05000000,0.53600000,1000,0.28448289,1000
4,1,PINCER_DUAL,1000,1000,8,0.05000000,0.61700000,1000,0.42405149,1000
4,1,CONCURRENT,1000,1000,8,0.05000000,0.73400000,1000,0.66657649,1000
4,2,ANTERIOR,1000,1000,8,0.05000000,0.38300000,1000,0.50737104,1000
4,2,POSTERIOR,1000,1000,8,0.05000000,0.78800000,1000,0.48895402,1000
4,2,PINCER_DUAL,1000,1000,8,0.05000000,0.86700000,1000,0.69273659,1000
4,2,CONCURRENT,1000,1000,8,0.05000000,0.94300000,1000,0.91081270,1000
4,3,ANTERIOR,1000,1000,8,0.05000000,0.55700000,1000,0.64757632,1000
4,3,POSTERIOR,1000,1000,8,0.05000000,0.89900000,1000,0.63923205,1000
4,3,PINCER_DUAL,1000,1000,8,0.05000000,0.94300000,1000,0.82916576,1000
4,3,CONCURRENT,1000,1000,8,0.05000000,0.97500000,1000,0.96956129,1000
4,4,ANTERIOR,1000,1000,8,0.05000000,0.68700000,1000,0.74938128,1000
4,4,POSTERIOR,1000,1000,8,0.05000000,0.95800000,1000,0.75399305,1000
4,4,PINCER_DUAL,1000,1000,8,0.05000000,0.97900000,1000,0.90273683,1000
4,4,CONCURRENT,1000,1000,8,0.05000000,0.99800000,1000,0.99456411,1000
4,5,ANTERIOR,1000,1000,8,0.05000000,0.78400000,1000,0.82959089,1000
4,5,POSTERIOR,1000,1000,8,0.05000000,0.98400000,1000,0.82805818,1000
4,5,PINCER_DUAL,1000,1000,8,0.05000000,0.99500000,1000,0.94589024,1000
4,5,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99902299,1000
4,6,ANTERIOR,1000,1000,8,0.05000000,0.85900000,1000,0.87522761,1000
4,6,POSTERIOR,1000,1000,8,0.05000000,0.99200000,1000,0.87440746,1000
4,6,PINCER_DUAL,1000,1000,8,0.05000000,0.99700000,1000,0.97424962,1000
4,6,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99995941,1000
4,7,ANTERIOR,1000,1000,8,0.05000000,0.92100000,1000,0.91250440,1000
4,7,POSTERIOR,1000,1000,8,0.05000000,0.99400000,1000,0.91516456,1000
4,7,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98376227,1000
4,7,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99999990,1000
4,8,ANTERIOR,1000,1000,8,0.05000000,0.94700000,1000,0.93814249,1000
4,8,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.94343396,1000
4,8,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99162517,1000
4,8,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
4,9,ANTERIOR,1000,1000,8,0.05000000,0.97600000,1000,0.95808272,1000
4,9,POSTERIOR,1000,1000,8,0.05000000,0.99700000,1000,0.96001101,1000
4,9,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99489632,1000
4,9,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
4,10,ANTERIOR,1000,1000,8,0.05000000,0.99700000,1000,0.97291875,1000
4,10,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.97724312,1000
4,10,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99751703,1000
4,10,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
4,11,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.98205265,1000
4,11,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.98310478,1000
4,11,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99868048,1000
4,11,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
5,1,ANTERIOR,1000,1000,8,0.05000000,0.23600000,1000,0.32912806,1000
5,1,POSTERIOR,1000,1000,8,0.05000000,0.60900000,1000,0.33679161,1000
5,1,PINCER_DUAL,1000,1000,8,0.05000000,0.70100000,1000,0.51027707,1000
5,1,CONCURRENT,1000,1000,8,0.05000000,0.80700000,1000,0.75606557,1000
5,2,ANTERIOR,1000,1000,8,0.05000000,0.42600000,1000,0.57248130,1000
5,2,POSTERIOR,1000,1000,8,0.05000000,0.84400000,1000,0.56497547,1000
5,2,PINCER_DUAL,1000,1000,8,0.05000000,0.91300000,1000,0.77767379,1000
5,2,CONCURRENT,1000,1000,8,0.05000000,0.96600000,1000,0.94896145,1000
5,3,ANTERIOR,1000,1000,8,0.05000000,0.55300000,1000,0.71798403,1000
5,3,POSTERIOR,1000,1000,8,0.05000000,0.95100000,1000,0.71178929,1000
5,3,PINCER_DUAL,1000,1000,8,0.05000000,0.97500000,1000,0.88275510,1000
5,3,CONCURRENT,1000,1000,8,0.05000000,0.99000000,1000,0.98695729,1000
5,4,ANTERIOR,1000,1000,8,0.05000000,0.74900000,1000,0.82831487,1000
5,4,POSTERIOR,1000,1000,8,0.05000000,0.97500000,1000,0.81239182,1000
5,4,PINCER_DUAL,1000,1000,8,0.05000000,0.98700000,1000,0.94840839,1000
